time_s,scenario,xA,xB,xC,s1_out,s2_out,s3_out,n1_out_cum,n2_out_cum,n3_out_cum,nu1,nu2,nu3,a1,a2,a3,q1,q2,q3,lambda1_in,lambda2_in,m3_setup,fault_m2,fA_pull,fB_pull,wA,wB,g_block_A,g_block_B,g_pull_A,g_pull_B,g_down
0.0,piecewise,10.0,10.0,15.0,1.188,0.99,1.8,1.188,0.99,1.8,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.08,0.9802086624055292,0.0,0.0,0.8999999999996225,0.8999999999996225,0.5,0.5,1.0,1.0,0.9999999999995806,0.9999999999995806,1.0
1.0,piecewise,8.992000000000377,9.090208662405908,14.999999999999243,1.188,0.99,1.8,2.376,1.98,3.6,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.08075397611218,0.9804405368142484,0.0,0.0,0.8946967936011777,0.9053032063852852,0.497053774227165,0.502946225772835,1.0,1.0,0.999999999991372,0.9999999999935738,1.0
2.0,piecewise,7.99005718251138,8.17534599283487,14.999999999985707,1.188,0.99,1.8,3.564,2.97,5.4,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0815079154766276,0.9806697867134876,0.0,0.0,0.889994816280871,0.9100051834730084,0.4944415646866712,0.5055584353133288,1.0,1.0,0.9999999998256874,0.9999999999000186,1.0
3.0,piecewise,6.993570281707137,7.25601059607535,14.999999999739586,1.188,0.99,1.8,4.752,3.96,7.2,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0822617813474025,0.9808964046235792,0.0,0.0,0.885829391135027,0.9141706043548294,0.4921274412244122,0.5078725587755878,1.0,1.0,0.9999999965355462,0.9999999984234578,1.0
4.0,piecewise,6.002002671919512,6.3327363963441,14.999999995229444,1.188,0.99,1.8,5.94,4.95,9.0,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0830155369821457,0.9811203831507272,0.0,0.0,0.8821426629462065,0.917857254114203,0.4900792904428325,0.5099207095571675,1.0,1.0,0.9999999321528248,0.9999999748450016,1.0
5.0,piecewise,5.014875545955452,5.405999525380624,14.999999912289852,1.188,0.99,1.8,7.127999999999999,5.94,10.8,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.08376914564387,0.9813417149872516,0.0,0.0,0.8788820291359697,0.921116444974305,0.4882684341434972,0.5117315658565027,1.0,1.0,0.9999986888788526,0.9999995944408,1.0
6.0,piecewise,4.031762662463352,4.476224795393571,14.999998386400126,1.188,0.99,1.8,8.315999999999999,6.930000000000001,12.6,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0845225706027537,0.981560392911824,0.0,0.0,0.87598280368878,0.9239891703232378,0.4866692959843849,0.5133307040156151,1.0,1.0,0.9999749669353456,0.9999934015843092,1.0
7.0,piecewise,3.0523024293773258,3.543796017982157,14.999970360412144,1.188,0.99,1.8,9.504,7.920000000000001,14.400000000000002,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0852757751379265,0.9817764097897048,0.0,0.0,0.8730542856174577,0.926432708710434,0.485259465067694,0.5147405349323061,1.0,1.0,0.9995274561181478,0.9998917964371116,1.0
8.0,piecewise,2.076523918897794,2.609139719061428,14.999457354740036,1.188,0.99,1.8,10.692,8.91,16.200000000000003,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0860287225392615,0.9819897585729754,0.0,0.0,0.8636225292402104,0.9270950823308136,0.4840269630944109,0.5159730369055892,1.0,1.0,0.9912470391215676,0.998216547527388,1.0
9.0,piecewise,1.1109301121968456,1.6740343953035897,14.99017496631106,1.188,0.99,1.8,11.88,9.9,18.000000000000004,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.086781376109166,0.9822004323007688,0.0,0.0,0.7496801595553729,0.9037031624024424,0.4831132964713867,0.5168867035286133,1.0,1.0,0.8620937998866071,0.97131017110408,1.0
10.0,piecewise,0.2600313287506387,0.762531665201916,14.843558288268875,1.188,0.99,1.8,13.068,10.89,19.800000000000004,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0875336991643656,0.9824084240994956,0.0,0.0,0.2600313287506387,0.6372278743735739,0.4849295560933978,0.5150704439066023,1.0,1.0,0.3274136796814194,0.6873146963705224,1.0
11.0,piecewise,0.0,0.1177122149278377,13.940817491393087,1.188,0.99,1.8,14.256000000000002,11.88,21.600000000000005,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0882856550376965,0.9826137271830694,0.0,0.0,0.0,0.1177122149278377,0.496468692268431,0.5035313077315688,1.0,1.0,0.1824255238063563,0.2410624702940232,1.0
