time_s,scenario,xA,xB,xC,s1_out,s2_out,s3_out,n1_out_cum,n2_out_cum,n3_out_cum,nu1,nu2,nu3,a1,a2,a3,q1,q2,q3,lambda1_in,lambda2_in,m3_setup,fault_m2,fA_pull,fB_pull,wA,wB,g_block_A,g_block_B,g_pull_A,g_pull_B,g_down
0.0,piecewise,10.0,10.0,15.0,1.3345831339380565,0.8144949020344124,0.0,1.3345831339380565,0.8144949020344124,0.0,1.3784203596270066,0.8452945881535991,2.3718641527163533,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0602847700637386,0.7894542388567788,1.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.9999999999995806,0.9999999999995806,1.0
1.0,piecewise,9.725701636125683,9.974959336822366,15.0,1.3541391950650763,0.7708851718724723,0.0,2.6887223290031326,1.5853800739068848,0.0,1.3986187812360464,0.8000357795291968,2.3642604859522267,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0758214520793659,0.7471852372390261,1.0,0.0,0.0,0.0,0.4925228264335684,0.5074771735664316,1.0,1.0,0.999999999999045,0.9999999999995479,1.0
2.0,piecewise,9.447383893139973,9.951259402188919,15.0,1.3882020322252389,0.7946458606191317,0.0,4.076924361228372,2.3800259345260164,0.0,1.4338004848363908,0.8246949659258045,2.3364123879968077,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.1028833162282932,0.7702154322744448,1.0,0.0,0.0,0.0,0.48488833849728685,0.5151116615027131,1.0,1.0,0.9999999999977991,0.9999999999995146,1.0
3.0,piecewise,9.162065177143027,9.926828973844232,15.0,1.3415488156318554,0.8239825749041384,0.0,5.418473176860227,3.204008509430155,0.0,1.3856148439729021,0.8551410322638315,2.3662274142068487,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0658187874098544,0.7986502246698062,1.0,0.0,0.0,0.0,0.4770731747212478,0.5229268252787522,1.0,1.0,0.9999999999948199,0.9999999999994778,1.0
4.0,piecewise,8.886335148921027,9.9014966236099,15.0,1.380549967003405,0.7899052596060544,0.0,6.799023143863631,3.9939137690362094,0.0,1.4258970712334886,0.8197751016382065,2.3483607612257806,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0968039885281864,0.7656205753205771,1.0,0.0,0.0,0.0,0.46958276234302415,0.5304172376569758,1.0,1.0,0.9999999999881537,0.9999999999994365,1.0
5.0,piecewise,8.602589170445809,9.877211939324422,15.0,1.3790585024284623,0.8077398419279045,0.0,8.178081646292094,4.801653610964114,0.0,1.4243566163277708,0.8382840890867281,2.364230889401736,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0956190663351155,0.782906854924117,1.0,0.0,0.0,0.0,0.4618356929123362,0.5381643070876637,1.0,1.0,0.9999999999722495,0.9999999999993938,1.0
6.0,piecewise,8.319149734352461,9.852378952320635,15.0,1.3753465904163016,0.794592795829321,0.0,9.553428236708395,5.596246406793435,0.0,1.4205227786592185,0.8246398945195422,2.3606305794062816,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0926700677495444,0.7701639988975808,1.0,0.0,0.0,0.0,0.4541324406200252,0.5458675593799749,1.0,1.0,0.9999999999350531,0.999999999999347,1.0
7.0,piecewise,8.036473211685704,9.827950155388894,15.0,1.372860780800327,0.8086041918272009,0.0,10.926289017508722,6.404850598620636,0.0,1.4179553173316464,0.8391811239120185,2.3795741116072175,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0906951693636202,0.7837446314284887,1.0,0.0,0.0,0.0,0.4464617232735044,0.5535382767264957,1.0,1.0,0.999999999848346,0.9999999999992972,1.0
8.0,piecewise,7.754307600248998,9.803090594990183,15.0,1.3647125102542317,0.7807812995254099,0.0,12.291001527762955,7.185631898146046,0.0,1.409539399483693,0.8103061239203172,2.356452076967532,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0842216219744136,0.7567771203857044,1.0,0.0,0.0,0.0,0.43884424269344435,0.5611557573065555,1.0,1.0,0.9999999996464239,0.9999999999992428,1.0
9.0,piecewise,7.47381671196918,9.779086415850477,15.0,1.3765398014384518,0.7977458462245792,0.0,13.667541329201406,7.9833777443706255,0.0,1.4217551832389241,0.827912175817596,2.3688900387166423,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0936180367760409,0.7732201125621947,1.0,0.0,0.0,0.0,0.43127958940836686,0.5687204105916331,1.0,1.0,0.9999999991797812,0.9999999999991864,1.0
10.0,piecewise,7.190894947306769,9.754560682188092,15.0,1.2984964759676167,0.7812082306740676,0.0,14.966037805169023,8.764585975044692,0.0,1.3411483585111443,0.8107491992404613,2.3723714965580354,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.031615043258745,0.7571909260512353,1.0,0.0,0.0,0.0,0.42369091967522554,0.5763090803247745,1.0,1.0,0.9999999980833458,0.9999999999991243,1.0
11.0,piecewise,6.924013514597897,9.73054337756526,15.0,1.342605432257322,0.7890320847452282,0.0,16.308643237426345,9.55361805978992,0.0,1.3867061674220198,0.8188689081402183,2.3608773963260874,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0666582364387602,0.7647742451674716,1.0,0.0,0.0,0.0,0.4165909940284228,0.5834090059715772,1.0,1.0,0.9999999957316588,0.9999999999990588,1.0
12.0,piecewise,6.648066318779335,9.706285537987503,15.0,1.3741139612378788,0.7708506960287411,0.0,17.682757198664223,10.324468755818662,0.0,1.419249661149937,0.8,2.3266100563209995,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0916907822245119,0.7471518213135196,1.0,0.0,0.0,0.0,0.40926943643370767,0.5907305635662924,1.0,1.0,0.9999999902324382,0.9999999999989877,1.0
13.0,piecewise,6.365643139765968,9.682586663272282,15.0,1.3687749793976005,0.778540479359826,0.0,19.051532178061823,11.103009235178488,0.0,1.4137353090791127,0.8079805683468417,2.355922628891161,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0874491272920161,0.7546051915328444,1.0,0.0,0.0,0.0,0.40178497082306264,0.5982150291769375,1.0,1.0,0.9999999772096685,0.9999999999989131,1.0
14.0,piecewise,6.084317287660384,9.6586513754453,15.0,1.3535917151389467,0.8034136893386605,0.0,20.40512389320077,11.906422924517148,0.0,1.3980533181656138,0.8337943453669324,2.3771131813569304,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.075386496314656,0.7787137046772717,1.0,0.0,0.0,0.0,0.39438423343903284,0.6056157665609672,1.0,1.0,0.9999999469988335,0.9999999999988323,1.0
15.0,piecewise,5.806112068836093,9.633951390783912,15.0,1.3350634463905815,0.7972479604115117,0.0,21.74018733959135,12.703670884928659,0.0,1.3789164489650978,0.8273954627206163,2.341280987056163,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0606663633608018,0.7727375336478135,1.0,0.0,0.0,0.0,0.38714223537438675,0.6128577646256131,1.0,1.0,0.999999877889117,0.9999999999987423,1.0
16.0,piecewise,5.531714985806313,9.609440964020214,15.0,1.3526873279569385,0.8189627844792239,0.0,23.09287466754829,13.522633669407883,0.0,1.3971192244602728,0.8499314211671298,2.329865762508052,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0746679888414687,0.7937847616457615,1.0,0.0,0.0,0.0,0.38005209441102994,0.6199479055889701,1.0,1.0,0.9999997218611077,0.9999999999986464,1.0
17.0,piecewise,5.2536956466908435,9.584262941186752,15.0,1.3694111758968586,0.8462223789988622,0.0,24.462285843445148,14.368856048406744,0.0,1.414392402807484,0.8782218225743792,2.3424355406802118,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.087954565613375,0.8202062928171576,1.0,0.0,0.0,0.0,0.37292985204887297,0.6270701479511271,1.0,1.0,0.9999993595453874,0.9999999999985403,1.0
18.0,piecewise,4.97223903640736,9.558246855005049,15.0,1.316003524133735,0.7708506960287411,0.0,25.778289367578882,15.139706744435486,0.0,1.3592304629641951,0.8,2.3377102273862205,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0455238482385694,0.7471518213135196,1.0,0.0,0.0,0.0,0.36578995207238957,0.6342100479276104,1.0,1.0,0.9999985099764002,0.9999999999984217,1.0
19.0,piecewise,4.701759360512194,9.534547980289828,15.0,1.3660662861307393,0.773554668961139,0.0,27.14435565370962,15.913261413396626,0.0,1.4109376430123997,0.8028062222127612,2.3921986010186442,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.085297154781205,0.7497726638601133,1.0,0.0,0.0,0.0,0.35894763443370964,0.6410523655662903,1.0,1.0,0.9999966457469016,0.9999999999983056,1.0
20.0,piecewise,4.42099022916266,9.510765975188802,15.0,1.38579638004406,0.7987433365629173,0.0,28.53015203375368,16.712004749959544,0.0,1.431315813885295,0.828947385715935,2.351023410917598,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.1009721004299575,0.7741869362634268,1.0,0.0,0.0,0.0,0.3518828659237977,0.6481171340762023,1.0,1.0,0.9999922124050017,0.9999999999981801,1.0
21.0,piecewise,4.136165949548557,9.486209574889312,15.0,1.3621443390057009,0.778201008471969,0.0,29.892296372759382,17.490205758431514,0.0,1.4068868711803133,0.8076282605501638,2.347099875673091,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0821812898343708,0.7542761572679058,1.0,0.0,0.0,0.0,0.34479339404324744,0.6552066059567526,1.0,1.0,0.9999816982916593,0.9999999999980411,1.0
22.0,piecewise,3.856202900377227,9.462284723685249,15.0,1.3307708430898881,0.8219159153592068,0.0,31.22306721584927,18.31212167379072,0.0,1.3744828459657716,0.8529962231010938,2.3524938530853503,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.05725602361657,0.7966471020794195,1.0,0.0,0.0,0.0,0.3378858584455884,0.6621141415544116,1.0,1.0,0.9999576122473387,0.9999999999978952,1.0
23.0,piecewise,3.582688080903909,9.437015910405462,15.0,1.3496449984194208,0.7708506960287411,0.0,32.57271221426869,19.082972369819462,0.0,1.39397696312895,0.8,2.349507333204368,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0722509526957873,0.7471518213135196,1.0,0.0,0.0,0.0,0.33125389469698424,0.6687461053030158,1.0,1.0,0.9999037113913077,0.9999999999977296,1.0
24.0,piecewise,3.3052940351802755,9.413317035690241,15.0,1.3519054821785845,0.7813032961132172,0.0,33.92461769644728,19.86427566593268,0.0,1.3963116972920016,0.8108478595280001,2.3490438386814865,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0740468367002145,0.7572830688181428,1.0,0.0,0.0,0.0,0.32454490713710515,0.6754550928628948,1.0,1.0,0.9997787248050813,0.9999999999975622,1.0
25.0,piecewise,3.0274353897019055,9.389296808395166,15.0,1.341665533295543,0.8043792345997273,0.0,35.26628322974282,20.66865490053241,0.0,1.3857353954768614,0.8347964022021054,2.3574868543231626,1.0,1.0,0.0,0.9681974911479019,0.9635633700359264,0.9760691535959787,1.0659115159616084,0.7796495654140956,1.0,0.0,0.0,0.0,0.31790347735839697,0.682096522641603,1.0,1.0,0.9994908742019748,0.9999999999973801,1.0
