time_s,scenario,xA,xB,xC,s1_out,s2_out,s3_out,n1_out_cum,n2_out_cum,n3_out_cum,nu1,nu2,nu3,a1,a2,a3,q1,q2,q3,lambda1_in,lambda2_in,m3_setup,fault_m2,fA_pull,fB_pull,wA,wB,g_block_A,g_block_B,g_pull_A,g_pull_B,g_down
0.0,piecewise,10.0,10.0,15.0,1.3729535273222169,1.303412957669863,1.9347158650648428,1.3729535273222169,1.303412957669863,1.9347158650648428,1.4702133932759638,1.3700391450823493,2.030192143017225,1.0,1.0,1.0,0.933846429097595,0.9513691359464904,0.9529718020627901,1.016045668384138,1.0216180057239321,0.0,0.0,0.9673579325320156,0.9673579325320156,0.5,0.5,1.0,1.0,0.9999999999995806,0.9999999999995806,1.0
1.0,piecewise,8.675734208529905,8.750847115522053,14.999999999999188,1.3634869020754914,1.2939774320215551,1.9093354046368434,2.7364404293977085,2.597390389691418,3.844051269701686,1.4600761534132238,1.36012130636781,2.0035591824479186,1.0,1.0,1.0,0.933846429097595,0.9513691359464904,0.9529718020627901,1.0090399515956672,1.0142224195138534,0.0,0.0,0.9503652594462411,0.958970145152368,0.49774662804630593,0.502253371953694,1.0,1.0,0.9999999999777172,0.9999999999822129,1.0
2.0,piecewise,7.37092199860384,7.512121957861983,14.999999999960954,1.3776041585403167,1.2541831137500214,1.9431304614406824,4.114044587938025,3.85157350344144,5.787181731142368,1.4751934746610733,1.3182928333094073,2.039021991243191,1.0,1.0,1.0,0.933846429097595,0.9513691359464904,0.9529718020627901,1.0194873389216823,0.9830315434124015,0.0,0.0,0.96333432830746,0.9797961313409315,0.4957641025652534,0.5042358974347465,1.0,1.0,0.9999999988831638,0.9999999992688233,1.0
3.0,piecewise,6.0494708506777455,6.261174256183432,14.999999998168663,1.3909483696643692,1.2884568171728938,1.926830291061699,5.504992957602394,5.140030320614334,7.714012022204067,1.48948298812738,1.3543184958286927,2.021917423884849,1.0,1.0,1.0,0.933846429097595,0.9513691359464904,0.9529718020627901,1.0293626388796064,1.0098953491875449,0.0,0.0,0.9511782516428031,0.9756519530300107,0.49364923938775185,0.506350760612248,1.0,1.0,0.9999999411581565,0.9999999688210547,1.0
4.0,piecewise,4.736706868250179,5.006960835168073,14.999999911779778,1.3730280125934617,1.2768513507649641,1.9040556266833353,6.878020970195856,6.416881671379298,9.618067648887402,1.470293155075039,1.3421197961132727,1.9980188527738616,1.0,1.0,1.0,0.933846429097595,0.9513691359464904,0.9529718020627901,1.0161007907431259,1.0007989585329966,0.0,0.0,0.9365889797355701,0.9674625191313037,0.4918930915071496,0.5081069084928503,1.0,1.0,0.9999969796070681,0.9999986573749237,1.0
5.0,piecewise,3.443190666664273,3.7634459238048015,14.999995783963316,1.3535363555364923,1.2971925816804875,1.9048526529971637,8.231557325732348,7.714074253059786,11.522920301884566,1.4494207113309379,1.3635008039124026,1.9988552115329592,1.0,1.0,1.0,0.933846429097595,0.9513691359464904,0.9529718020627901,1.0016761118823716,1.0167424610427749,0.0,0.0,0.9339907253112028,0.9706708988336051,0.49039352458436136,0.5096064754156385,1.0,1.0,0.999853680552542,0.9999440131524407,1.0
6.0,piecewise,2.1573396976989496,2.5123249043334837,14.99980475511096,1.3567201118757406,1.2866590384359726,1.898614281362639,9.588277437608088,9.000733291495758,13.421534583247205,1.4528300045937763,1.3524288205501975,1.9923089825458884,1.0,1.0,1.0,0.933846429097595,0.9513691359464904,0.9529718020627901,1.004032230842926,1.0084862461729256,0.0,0.0,0.9226972963584497,0.9672130291656266,0.48935205390695374,0.5106479460930463,1.0,1.0,0.993118539311678,0.9976169179239449,1.0
7.0,piecewise,0.8819545203076853,1.26693908290481,14.991100799272397,1.369176448575963,1.2868115308596741,1.9252599785193494,10.957453886184052,10.287544822355432,15.346794561766554,1.4661687467167819,1.3525891078855123,2.0202696180012434,1.0,1.0,1.0,0.933846429097595,0.9513691359464904,0.9529718020627901,1.0132504648882397,1.0086057700773592,0.0,0.0,0.7135313411051455,0.8951850015579987,0.4884525168351531,0.5115474831648469,1.0,1.0,0.7587545686340605,0.9089447005566302,1.0
8.0,piecewise,0.0,0.09354832056449625,14.674557163416193,1.3766281066690054,1.3241022812677374,1.9339174220295314,12.334081992853058,11.61164710362317,17.280711983796085,1.4741482793903107,1.3917860389179277,2.0293542976228673,1.0,1.0,1.0,0.933846429097595,0.9513691359464904,0.9529718020627901,1.0187650178407217,1.0378343440604973,0.0,0.0,0.0,0.09354832056449625,0.4971935798547532,0.5028064201452467,1.0,1.0,0.18242552380635635,0.22804997176684721,1.0
9.0,piecewise,0.0,0.0,12.834188061951158,1.351933930291591,1.2801779413974084,1.9514870875423038,13.686015923144648,12.891825045020578,19.23219907133839,1.4477047704706725,1.3456164311277508,2.047791008420334,1.0,1.0,1.0,0.933846429097595,0.9513691359464904,0.9529718020627901,1.0004902471050203,1.0034063477474273,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
