time_s,scenario,xA,xB,xC,s1_out,s2_out,s3_out,n1_out_cum,n2_out_cum,n3_out_cum,nu1,nu2,nu3,a1,a2,a3,q1,q2,q3,lambda1_in,lambda2_in,m3_setup,fault_m2,fA_pull,fB_pull,wA,wB,g_block_A,g_block_B,g_pull_A,g_pull_B,g_down
1133.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1347.192000000019,1122.6600000000087,400.2316190527266,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.187831602531654,0.9864375358560868,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
1134.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1348.3800000000192,1123.6500000000087,400.5599849955781,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1877868866702535,0.9865793299071922,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
1135.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1349.5680000000193,1124.6400000000087,400.88835093842954,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1877369174280612,0.9867182991602408,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
1136.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1350.7560000000194,1125.6300000000087,401.216716881281,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1876816972405075,0.9868544390811239,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
1137.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1351.9440000000195,1126.6200000000088,401.54508282413246,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1876212287989465,0.9869877452280452,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
1138.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1353.1320000000196,1127.6100000000088,401.8734487669839,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.187555515050525,0.9871182132516644,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
1139.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1354.3200000000197,1128.6000000000088,402.2018147098354,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1874845591980379,0.9872458388952399,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
1140.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1355.5080000000198,1129.5900000000088,402.53018065268685,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1874083646997737,0.9873706179947682,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
1141.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1356.69600000002,1130.5800000000088,402.8585465955383,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1873269352693445,0.9874925464791184,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
1142.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1357.88400000002,1131.5700000000088,403.1869125383898,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1872402748755062,0.987611620370166,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
1143.0,m1_quality_drop,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,1359.0720000000201,1132.5600000000088,403.51527848124124,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1871483877419635,0.9877278357829231,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
